DATAFLOW,LAST UPDATE,freq,unit,icha11_hf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,IS,2019,475.51,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,IT,2019,593.28,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,LT,2019,613.08,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,LU,2019,365.36,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,LV,2019,503.69,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,MT,2019,1004.33,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,NL,2019,422.37,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,NO,2019,638.53,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,PL,2019,317.69,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,PT,2019,698.91,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,RO,2019,246.61,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,SE,2019,525.26,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,SI,2019,266.14,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,SK,2019,287.10,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,UK,2019,498.28,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,TOT_HF,AT,2019,3965.73,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,TOT_HF,BE,2019,3838.86,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,TOT_HF,BG,2019,1271.92,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,TOT_HF,CH,2019,4917.63,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,TOT_HF,CY,2019,1977.77,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,TOT_HF,CZ,2019,2317.87,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,TOT_HF,DE,2019,4539.02,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,TOT_HF,DK,2019,3796.57,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,TOT_HF,EE,2019,1737.07,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,TOT_HF,EL,2019,1664.31,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,TOT_HF,ES,2019,2495.34,
